""	Minimum Cumulative Default Probability Associated with Rating	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Rating	Year 1	Year 2	Year 3	Year 4	Year 5	Year 6	Year 7	Year 8	Year 9	Year 10	Year 11	Year 12	Year 13	Year 14	Year 15	Year 16	Year 17	Year 18	Year 19	Year 20	Year 21	Year 22	Year 23	Year 24	Year 25	Year 26	Year 27	Year 28	Year 29	Year 30	Year 31	""
BBB-	2.67207784317748E-03	7.02495551587339E-03	1.19134377909989E-02	1.68997041394221E-02	2.19522208443702E-02	2.69981480846372E-02	3.23037149566424E-02	0.037635754277017	4.24815253963414E-02	4.68614980554399E-02	5.63861757970472E-02	6.29944027479901E-02	6.96590254210303E-02	7.63504213969992E-02	8.30427053282369E-02	8.97134321452779E-02	9.63432913930919E-02	0.102915804135954	0.109417030341044	0.115835291929798	0.122160914630395	0.128385990243928	0.134504159837415	0.140510417604376	0.146400934610871	0.152172901309924	0.157824387511447	0.163354218400034	0.168761865170251	0.174047348875995	0.17933283258174	BBB-
BB+	6.04483250388296E-03	1.45636533878007E-02	2.31350383617577E-02	3.16164514137814E-02	0.040129789433786	4.80884601541784E-02	5.52899629227584E-02	6.26205237921243E-02	0.069572480191524	7.57231800705702E-02	9.31020400580223E-02	0.102174270872959	0.111118526400514	0.119909301540645	0.128526738654511	0.136955806948761	0.145185558203347	0.153208464358375	0.161019836485643	0.168617321052335	0.176000467375387	0.183170359227346	0.19012930331131	0.196880567512739	0.203428162280631	0.209776659069429	0.215931040406563	0.221896576788028	0.227678726214694	0.233283052747694	0.238887379280694	BB+
BB	1.16498927033686E-02	2.64752714811388E-02	4.02658664379646E-02	5.34415568635496E-02	6.66369266998411E-02	7.81424980404389E-02	8.69149009088775E-02	9.59152751129871E-02	0.104846792988627	0.112649900133112	0.129218951255775	0.140767197358793	0.152006434537834	0.162914387279955	0.17347648707379	0.183684510252983	0.19353537813122	0.20303011930376	0.212172985499291	0.220970707764466	0.229431877711479	0.237566438128878	0.245385267812746	0.252899846591068	0.260121987905275	0.267063627796798	0.273736660609437	0.280152813093878	0.286323549853728	0.292260004188023	0.298196458522319	BB
BB-	2.09370485025946E-02	0.04372607917479	6.38487274736153E-02	8.15916662411058E-02	9.98712170747909E-02	0.114803005187147	0.125073578344909	0.135343488945719	0.145389648875014	0.154405310789493	0.170529368802565	0.184284314483469	0.197488498184711	0.210139146064914	0.222240915982307	0.233804078307485	0.244843034266481	0.255375121554181	0.265419661221024	0.274997205007291	0.28412894767041	0.292836274012401	0.301140415049866	0.309062191981918	0.316621830279569	0.32383882936304	0.330731875993405	0.337318791734325	0.343616506693068	0.34964105328079	0.355665599868511	BB-
B+	3.62640317670278E-02	6.79513060948794E-02	9.54644436426464E-02	0.116443763250764	0.138269013159131	0.15534995976826	0.167236539069666	0.178273189234949	0.188393311983202	0.198003030279842	0.218755602048823	0.234315984796494	0.249013051911601	0.262885501304421	0.275975462870749	0.288326547652226	0.299982480736511	0.310986163545316	0.321379050406145	0.331200753711971	0.340488813997011	0.34927858773843	0.357603218016432	0.365493662367955	0.372978759032514	0.380085317898958	0.386838226259183	0.393260562289844	0.39937371126356	0.405197481023322	0.411021250783084	B+
B	5.78867860569232E-02	9.88911522837104E-02	0.134189790967868	0.158461509522029	0.182714312520941	0.201297913551035	0.214315491740565	0.225562519049597	0.235989999788127	0.245731560854523	0.266841963005253	0.284215204797003	0.300412843672564	0.315514750638952	0.329600329986586	0.342746410305346	0.355025970926263	0.366507444785275	0.377254412670344	0.387325557441176	0.396774785580249	0.405651451364656	0.414000638987811	0.42186347226674	0.429277431723348	0.436276665979924	0.442892289400929	0.449152661356639	0.455083644823642	0.460708843594016	0.466334042364391	B
B-	9.12135954778672E-02	0.13922596740551	0.180835975403126	0.20876905901019	0.236686607141173	0.257173093460416	0.272820453778671	0.286249366811527	0.297609072442357	0.308103878586427	0.330718814887592	0.351573404482649	0.370901916150523	0.388820354634621	0.40544176358675	0.420873743315952	0.435217070496296	0.448565061305715	0.461003424937207	0.472610430295119	0.483457263051259	0.493608489003588	0.503122567173207	0.512052375440647	0.52044572505001	0.528345849660988	0.535791861007761	0.542819167499241	0.549459854892475	0.555743029938963	0.56202620498545	B-
CCC+	0.142117622340126	0.196448204856432	0.245411893485241	0.279426442905354	0.31341451589669	0.337316802183993	0.35818248152218	0.377139721910321	0.392784168092998	0.40801102926269	0.432767403927223	0.455516874893706	0.476301851043839	0.495330022159577	0.512787453390133	0.528839694087834	0.543633393275176	0.557298119805918	0.569948206102801	0.581684512058955	0.592596054974392	0.602761482041081	0.612250380391178	0.621124430395904	0.629438413596898	0.637241089240339	0.644575954087949	0.651481899787066	0.657993781096789	0.664142907003351	0.670292032909913	CCC+
CCC	0.212584474061173	0.274792533937642	0.334201406603517	0.377514450326129	0.420748699602247	0.450140636389577	0.478178048440915	0.505364428426132	0.531058828090577	0.556821335798118	0.577050173769577	0.59503909487109	0.61086021800307	0.624868769797445	0.637352309176124	0.648544422280646	0.658635643473552	0.667782129970128	0.676112535815341	0.683733452788867	0.690733716449992	0.697187816480708	0.703158601550897	0.70869942911589	0.713855878579702	0.718667120812988	0.723167016905793	0.72738500322125	0.731346807423972	0.735075030469303	0.738803253514633	CCC
CCC-	0.364107823801429	0.43043989891576	0.493512838675487	0.539138025998717	0.58341953264085	0.612353927600905	0.64083940979365	0.668908784751529	0.696590779299343	0.724258241237198	0.737513237540789	0.748901174318528	0.758540410201605	0.766790860501884	0.773927872243651	0.780163589301326	0.785662611647142	0.790553563200129	0.794937693092019	0.798895306997041	0.802490599994819	0.80577530503429	0.808791459423079	0.811573511659838	0.814149932917886	0.816544455169774	0.81877702688366	0.820864554313164	0.822821479432741	0.824660232954219	0.826498986475697	CCC-
CC	0.714074191775111	0.755041530347549	0.790252997362136	0.813891765818507	0.835590810258494	0.84918210949878	0.862150472577685	0.874558704169662	0.886460197795189	0.898331787259028	0.903489840238222	0.908116368707195	0.911995945129198	0.915290544658402	0.918121510553696	0.920580757016463	0.92273861494756	0.924649416965076	0.926355526339598	0.927890275667217	0.929280130479837	0.930546295227929	0.931705914040335	0.932772974504165	0.93375899219217	0.93467353226929	0.935524609324969	0.936318995689794	0.937062460620614	0.937759957001304	0.938457453381994	CC
C	0.857037095887556	0.877520765173775	0.895126498681068	0.906945882909254	0.917795405129247	0.92459105474939	0.931075236288842	0.937279352084831	0.943230098897595	0.949165893629514	0.951744920119111	0.954058184353598	0.955997972564599	0.957645272329201	0.959060755276848	0.960290378508232	0.96136930747378	0.962324708482538	0.963177763169799	0.963945137833609	0.964640065239918	0.965273147613964	0.965852957020167	0.966386487252082	0.966879496096085	0.967336766134645	0.967762304662484	0.968159497844897	0.968531230310307	0.968879978500652	0.969228726690997	C
D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	D
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	Default rates in this table is roughly based on the Idealized Default Rate table distributed by Moody's Corporation, although it uses the more familiar rating symbols employed by S&P and Fitch. PSCF users may substitute any values between 0 and 1.	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
